name;anno;teaching;research;citations;industry_income;international _outlook;Spese_personale;spese_indebitamento;sostenibilita_economico_finanziaria;occupazione;laureati;retribuzione;patrimonionetto;conto_economico;niscritti;ndocenti
Università Parma;2023;18.3;22.1;65.1;41.9;37.1;66,46;0.45;1.22;1490;1932;1381;253994139,8;16360925,94;31053;1017
Università Pavia;2019;21.9;23.6;73.0;53.8;46.1;66,98;0.02;1.22;1069;1367;1320;249775537,9;12886770,13;23804;896
Università Pavia;2020;24.6;25.7;65.5;55.5;47.0;63,42;0.01;1.29;1215;1390;1336;251559232,4;13715492,75;24615;893
Università Pavia;2021;27.3;26.9;65.5;59.9;48.0;62,96;0.01;1.30;1224;1543;1405;273946289;20908406,6;25379;901
Università Pavia;2022;36.8;28.1;72.4;46.5;46.7;63,31;0.01;1.29;1315;1628;1375;285245354;11299065,01;26065;978
Università Pavia;2023;38.6;33.7;75.0;46.5;47.2;63,31;0.01;1.29;1369;1737;1444;313138710,4;13801942,01;27064;1040
Università Perugia;2019;17.0;20.6;90.8;45.4;44.3;75,16;0.00;1.09;799;1165;1174;272263092,2;24519887,54;23762;981
Università Perugia;2020;18.6;22.8;87.5;45.2;44.6;72,13;0.00;1.14;854;1205;1175;286237263,5;14962767,94;26782;954
Università Perugia;2021;20.5;20.1;79.4;43.4;46.3;62,59;0.00;1.31;810;1119;1199;297648635,5;11963997,89;27897;960
Università Perugia;2022;21.4;17.9;77.2;43.1;48.3;61,44;0.00;1.33;972;1231;1205;314266823,4;17231173,91;28177;990
Università Perugia;2023;21.6;19.3;73.5;41.9;46.0;61,44;0.00;1.33;884;1208;1296;336289109,1;24170323,41;29036;980
Università Pisa;2019;32.2;25.2;79.5;40.8;39.9;76,75;9.06;1.04;1943;2411;1296;448280466;773223;45306;1546
Università Pisa;2020;31.2;26.5;74.3;40.5;40.9;74,07;8.28;1.08;1831;2403;1393;452336227;4055761;45749;1514
Università Pisa;2021;26.2;26.2;72.5;40.1;41.9;70,17;6.51;1.14;1902;2411;1405;475770609;23434382;45094;1488
Università Pisa;2022;28.1;28.0;70.6;41.8;41.3;69,24;6.04;1.15;2098;2559;1419;474465350;0;43818;1604
Università Pisa;2023;28.8;30.2;69.2;41.7;40.6;69,24;6.04;1.15;2104;2701;1474;474591187;62237;45234;1721
Università Roma III;2019;27.7;23.5;70.3;37.6;39.9;65,98;12.36;1.16;1390;1899;1226;255228823,9;357425,35;31460;864
Università Roma III;2020;23.4;22.7;61.2;40.4;41.4;65,11;8.43;1.20;1309;1839;1249;258732371,3;3503547,41;32855;893
Università Roma III;2021;25.3;21.8;53.9;39.9;41.6;64,9;8.05;1.21;1294;1691;1291;266667730,8;7935359,47;32667;896
Università Roma III;2022;23.6;22.4;48.0;40.8;41.5;66,88;8.38;1.18;1389;1774;1317;272948542,3;6280811,53;32586;1329
Università Roma III;2023;22.1;24.1;42.2;41.8;40.7;66,88;8.38;1.18;1180;1576;1370;276193123,1;3244580,78;34546;996
Università Salento;2019;28.0;18.6;61.6;37.8;26.4;80,65;0.00;1.02;600;976;1152;78649437,06;2297745,08;17628;601
Università Salento;2020;27.5;21.0;56.3;36.8;26.9;75,27;0.00;1.09;519;888;1179;87397575,19;8748138,13;18586;617
Università Salento;2021;22.4;17.9;55.7;35.8;27.5;67,82;0.00;1.21;567;827;1205;98582479,68;11184904,49;18444;594
Università Salento;2022;23.2;19.3;52.1;36.9;28.5;68,18;0.00;1.20;577;843;1190;110825386,3;12242906,61;18724;650
Università Salento;2023;26.1;19.3;53.2;39.8;29.6;68,18;0.00;1.20;555;825;1282;123971561,9;13272314,99;19603;636
Università Salerno;2019;17.5;17.4;93.9;37.7;33.1;67;0.00;1.22;871;1269;1138;194943679,2;4881077,23;35543;973
Università Salerno;2020;20.2;19.5;94.0;37.3;33.9;64,63;0.00;1.27;972;1484;1194;216805661,2;10646684,5;35591;976
Università Salerno;2021;18.7;20.7;93.6;36.6;35.5;61,72;0.00;1.33;1069;1534;1268;239757527,4;22951866,13;34057;1001
Università Salerno;2022;17.9;22.4;85.1;37.8;35.2;61,91;0.00;1.32;1271;1675;1259;256304898,2;16442361,86;33532;1075
Università Salerno;2023;18.9;23.3;77.4;39.1;35.0;61,91;0.00;1.32;1257;1705;1374;268701631,8;12396929,45;33826;1125
Università Sassari;2019;20.7;15.1;51.6;35.6;36.2;68,39;1.17;1.19;315;507;1083;55484365,12;5613831,36;13459;575
Università Sassari;2020;22.2;17.2;47.8;36.4;36.6;66,57;1.10;1.22;278;509;1237;64655412,47;9591523,46;13698;585
Università Sassari;2021;32.1;28.8;54.3;39.2;37.9;65,13;1.01;1.25;363;570;1248;80502233,8;16355876,48;12972;595
Università Sassari;2022;28.4;26.8;65.8;37.9;38.1;66,9;1.05;1.22;341;500;1278;94583417,72;14417981,89;12482;642
Università Sassari;2023;32.1;27.6;62.4;38.4;37.9;66,9;1.05;1.22;335;486;1369;105304621,4;6815695,31;12346;676
Università Siena;2019;36.9;20.3;69.7;36.6;42.5;70,58;20.47;1.04;734;858;1337;22148721,93;7791238,03;15853;728
Università Siena;2020;37.9;21.6;67.6;37.5;43.1;67,95;18.08;1.09;660;918;1297;35976767,84;12056716,78;16339;709
Università Siena;2021;20.8;23.1;83.2;35.9;44.6;65,21;16.29;1.13;752;998;1376;50914693,07;14937925,23;16152;711
Università Siena;2022;21.6;23.5;62.8;39.3;43.6;65,41;16.10;1.13;765;1002;1346;64142868,32;13228175,25;15616;758
Università Siena;2023;21.5;25.3;79.9;41.7;43.5;65,41;16.10;1.13;707;908;1336;71802249,77;7659381,45;15283;803
Università Tor Vergata;2019;22.6;16.6;74.6;36.3;45.3;74,52;10.14;1.06;1444;1765;1330;100229877,8;1819943,94;27577;1301
Università Tor Vergata;2020;23.2;17.8;67.1;37.2;51.3;74,35;12.11;1.06;1382;1852;1319;109448327,4;9218449,6;28356;1273
Università Tor Vergata;2021;42.9;19.5;65.4;38.6;56.1;72,52;9.13;1.09;1441;1797;1429;113465666,5;4017339,08;28997;1248
Università Tor Vergata;2022;38.2;27.4;68.5;48.4;62.1;71,15;7.15;1.12;1447;1741;1393;115481613,5;1871164,98;31479;1329
Università Tor Vergata;2023;39.7;28.8;63.8;45.8;65.3;71,15;7.15;1.12;1331;1617;1499;123705313,4;8207169,77;31554;1338
Università Torino;2019;19.9;24.3;73.4;44.7;43.6;61,9;4.54;1.27;3004;4021;1233;515959306,6;27462319,97;76527;2012
Università Torino;2020;22.6;27.3;75.3;45.4;44.3;61,75;4.30;1.28;3107;4464;1293;557314962,9;41048233,09;79373;2056
Università Torino;2021;22.2;27.1;75.0;41.6;44.5;60,6;3.27;1.31;3444;4705;1338;585013492,3;29445240,31;78289;2152
Università Torino;2022;22.3;27.8;76.4;43.8;41.8;60,97;3.19;1.29;3703;4809;1322;614051680,4;28775317,33;78468;2279
Università Torino;2023;21.5;29.7;77.5;43.9;41.4;60,97;3.19;1.29;3583;4803;1387;614784713,1;2890274,56;78654;2377
Università Trieste;2019;29.6;20.1;71.3;36.1;48.5;68,05;0.00;1.20;610;764;1348;49674794,62;9532699,27;15606;653
Università Trieste;2020;30.1;22.7;66.9;37.7;47.8;68,72;0.00;1.19;663;864;1371;58173230,09;8498435,47;15985;643
Università Trieste;2021;28.7;22.6;59.9;38.4;48.5;65,6;0.00;1.25;687;838;1461;64686098,49;6512868,4;16340;665
Università Trieste;2022;30.1;24.2;66.2;36.9;47.8;68,05;0.00;1.20;768;917;1433;70533177,58;5847079,09;16678;726
Università Trieste;2023;28.5;25.5;63.8;39.0;47.5;68,05;0.00;1.20;701;873;1469;77119211,16;6581133,58;17189;722
Università Udine;2019;26.1;15.5;68.0;37.3;38.9;73,66;0.07;1.11;614;721;1280;68431288;1194288;15306;650
Università Udine;2020;26.2;16.1;68.7;38.0;41.5;72,21;0.06;1.13;583;746;1248;68371022;5065514;15541;644
Università Udine;2021;21.9;16.3;68.7;38.0;41.9;69,54;0.05;1.18;704;821;1402;73462805;5091783;15101;651
Università Udine;2022;22.3;17.3;69.0;39.4;39.8;70,99;0.05;1.15;743;847;1378;79233423;1162505;14887;688
Università Udine;2023;26.1;19.6;73.6;39.9;38.2;70,99;0.05;1.15;630;756;1482;86351328;7117905;15235;692
Università Urbino;2019;16.1;12.7;88.0;36.3;48.3;65,24;1.20;1.24;434;622;1117;85230536,58;9757930,6;14779;333
Università Urbino;2020;17.1;14.6;88.4;37.4;49.8;64,5;2.10;1.25;441;686;1029;97685331,4;12454794,82;15177;326
Università Urbino;2021;15.9;14.5;86.3;36.3;49.3;64,81;1.02;1.25;509;692;1135;109778361,8;12093030,39;15278;345
Università Urbino;2022;16.0;16.3;78.7;41.3;50.4;63,45;1.51;1.27;534;761;1077;122346106,4;12567744,62;14580;372
Università Urbino;2023;16.2;17.1;59.1;42.7;49.3;63,45;1.51;1.27;576;777;1240;136106248,1;13760141,72;14080;367
Università Venezia;2019;24.7;26.6;37.0;37.1;44.6;59,54;4.38;1.33;1661;2031;1275;168798025,5;2821828,27;21497;587
Università Venezia;2020;25.1;25.7;36.5;37.1;53.9;61,02;4.37;1.30;1442;2006;1282;174318422,3;5972912,17;21264;595
Università Venezia;2021;33.8;27.3;30.3;36.5;54.7;62,19;4.40;1.27;1655;2149;1318;176897552,5;2977661,26;21217;632
Università Venezia;2022;33.7;27.3;33.5;40.9;58.8;65,52;5.17;1.21;1641;2088;1341;176288160,9;-210860,64;20588;681
Università Venezia;2023;34.4;32.3;34.3;44.6;60.8;65,52;5.17;1.21;1678;2163;1412;179045060,1;3052279,37;20101;714
Università Verona;2019;32.0;18.9;72.3;41.6;41.3;64,78;4.20;1.23;1082;1248;1268;171625921;-2736076;22950;751
Università Verona;2020;31.5;20.3;63.7;42.4;41.2;66,03;4.26;1.21;1073;1294;1286;173633999;3084285;24160;769
Università Verona;2021;28.5;21.2;69.0;41.3;42.3;64,18;4.20;1.25;1109;1392;1323;175299871;1665872;25338;792
Università Verona;2022;29.2;22.7;76.1;45.8;42.4;64,83;4.10;1.24;1290;1503;1338;179856541;4556672;25870;838
Università Verona;2023;31.4;26.0;80.0;45.5;42.4;64,83;4.10;1.24;1282;1573;1439;190788933;10932389;26672;838
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
